px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
13.4613	2.47876	5.06335	0.429226	0.284114	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	10.8175
13.7111	2.59263	5.09242	0.443758	0.284167	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.864572
13.9305	2.70747	5.0719	0.462308	0.291087	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.201962
14.1592	2.85977	5.09685	0.493438	0.311281	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.562775
14.4089	2.9688	5.16339	0.493768	0.285945	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	1.53204
14.6167	3.0394	5.10815	0.487542	0.261427	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	2.28245
14.8474	3.19285	5.16857	0.510602	0.269269	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	3.77143
15.0546	3.38492	5.19228	0.555272	0.307433	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	1.06541
15.2652	3.55295	5.1791	0.588335	0.333249	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	2.51057
15.4788	3.73917	5.20912	0.622432	0.354216	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.614034
15.6904	3.87414	5.19507	0.632196	0.344912	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.999798
15.9129	4.01535	5.19992	0.640592	0.333999	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.245523
16.1078	4.18056	5.15421	0.669442	0.357061	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	1.77845
16.3056	4.37401	5.17902	0.700662	0.372969	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.351059
16.5156	4.53833	5.19621	0.713187	0.36378	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.654635
16.6945	4.70504	5.17577	0.733197	0.366344	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.478937
16.8462	4.90135	5.08624	0.782587	0.422195	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	4.51592
17.0108	5.12473	5.11432	0.823029	0.44516	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.512685
17.1801	5.29703	5.08198	0.842626	0.446288	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	1.75482
17.3403	5.47596	5.06316	0.862204	0.443362	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.22475
17.4956	5.64768	5.01488	0.882854	0.447945	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	3.26632
17.6907	5.76822	4.96633	0.868627	0.404967	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	1.95068
17.8329	5.96708	4.93094	0.903179	0.431661	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	1.06659
18.0081	6.15451	4.94308	0.914803	0.419525	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.757829
18.157	6.3629	4.95672	0.939252	0.4234	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.673344
